,Location,Date,Time,People
502,c,010919,110610,7
503,c,010919,110613,5
504,c,010919,110615,4
505,c,010919,110618,6
506,c,010919,110620,3
507,c,010919,110623,3
508,c,010919,110625,5
509,c,010919,110628,5
510,c,010919,110631,3
511,c,010919,110633,4
512,c,010919,110636,2
513,c,010919,110638,2
514,c,010919,110641,3
515,c,010919,110643,3
516,c,010919,110646,3
517,c,010919,110648,2
518,c,010919,110651,1
519,c,010919,110653,4
520,c,010919,110656,8
521,c,010919,110659,9
522,c,010919,110701,10
523,c,010919,110704,9
524,c,010919,110706,9
525,c,010919,110709,12
526,c,010919,110711,11
527,c,010919,110714,8
528,c,010919,110716,9
529,c,010919,110719,7
530,c,010919,110721,7
531,c,010919,110724,11
532,c,010919,110727,10
533,c,010919,110729,8
534,c,010919,110732,9
535,c,010919,110734,9
536,c,010919,110737,9
537,c,010919,110739,9
538,c,010919,110742,8
539,c,010919,110744,9
540,c,010919,110747,8
541,c,010919,110750,7
542,c,010919,110752,11
543,c,010919,110755,10
544,c,010919,110757,11
545,c,010919,110800,8
546,c,010919,110802,10
547,c,010919,110805,12
548,c,010919,110807,10
549,c,010919,110810,12
550,c,010919,110813,12
551,c,010919,110815,8
552,c,010919,110818,9
553,c,010919,110820,8
554,c,010919,110823,8
555,c,010919,110825,8
556,c,010919,110828,7
557,c,010919,110830,8
558,c,010919,110833,8
559,c,010919,110836,7
560,c,010919,110838,10
561,c,010919,110841,9
562,c,010919,110843,12
563,c,010919,110846,9
564,c,010919,110848,9
565,c,010919,110851,8
566,c,010919,110854,7
567,c,010919,110856,7
568,c,010919,110859,9
569,c,010919,110902,8
570,c,010919,110904,7
571,c,010919,110907,6
572,c,010919,110909,5
573,c,010919,110912,5
574,c,010919,110915,3
575,c,010919,110917,4
576,c,010919,110920,3
577,c,010919,110923,4
578,c,010919,110925,1
579,c,010919,110928,3
580,c,010919,110930,5
581,c,010919,110933,6
582,c,010919,110936,7
583,c,010919,110940,6
584,c,010919,110943,6
585,c,010919,110946,8
586,c,010919,110948,6
587,c,010919,110951,8
588,c,010919,110954,8
589,c,010919,110957,7
590,c,010919,110959,5
591,c,010919,111002,3
592,c,010919,111005,2
593,c,010919,111008,1
594,c,010919,111010,2
595,c,010919,111013,0
596,c,010919,111016,0
597,c,010919,111018,2
598,c,010919,111021,2
599,c,010919,111023,2
600,c,010919,111026,1
601,c,010919,111028,2
602,c,010919,111031,2
603,c,010919,111034,1
604,c,010919,111038,0
605,c,010919,111040,0
606,c,010919,111044,1
607,c,010919,111047,3
608,c,010919,111051,3
609,c,010919,111054,3
610,c,010919,111057,4
611,c,010919,111101,4
612,c,010919,111103,4
613,c,010919,111106,3
614,c,010919,111109,3
615,c,010919,111111,3
616,c,010919,111114,3
617,c,010919,111116,3
618,c,010919,111120,3
619,c,010919,111123,3
620,c,010919,111126,3
621,c,010919,111129,4
622,c,010919,111132,4
623,c,010919,111135,4
624,c,010919,111138,4
625,c,010919,111140,3
626,c,010919,111143,3
627,c,010919,111146,3
628,c,010919,111148,5
629,c,010919,111151,4
630,c,010919,111154,4
631,c,010919,111156,5
632,c,010919,111159,5
633,c,010919,111202,5
634,c,010919,111205,5
635,c,010919,111208,4
636,c,010919,111211,4
637,c,010919,111214,5
638,c,010919,111216,6
639,c,010919,111219,6
640,c,010919,111223,6
641,c,010919,111226,3
642,c,010919,111229,2
643,c,010919,111231,3
644,c,010919,111234,6
645,c,010919,111237,3
646,c,010919,111240,3
647,c,010919,111242,2
648,c,010919,111246,3
649,c,010919,111250,2
650,c,010919,111252,2
651,c,010919,111255,3
652,c,010919,111258,3
653,c,010919,111300,3
654,c,010919,111303,3
655,c,010919,111306,3
656,c,010919,111308,3
657,c,010919,111311,3
658,c,010919,111314,4
659,c,010919,111317,2
660,c,010919,111319,2
661,c,010919,111322,3
662,c,010919,111325,3
663,c,010919,111327,4
664,c,010919,111330,4
665,c,010919,111333,4
666,c,010919,111335,5
667,c,010919,111338,4
668,c,010919,111341,4
669,c,010919,111345,3
670,c,010919,111348,2
671,c,010919,111351,2
672,c,010919,111354,1
673,c,010919,111357,2
674,c,010919,111400,3
675,c,010919,111402,3
676,c,010919,111405,4
677,c,010919,111408,2
678,c,010919,111411,2
679,c,010919,111413,2
680,c,010919,111416,2
681,c,010919,111419,1
682,c,010919,111422,1
683,c,010919,111425,1
684,c,010919,111428,1
685,c,010919,111431,0
686,c,010919,111434,0
687,c,010919,111436,0
688,c,010919,111439,0
689,c,010919,111442,0
690,c,010919,111444,1
691,c,010919,111447,1
692,c,010919,111450,1
693,c,010919,111453,2
694,c,010919,111456,1
695,c,010919,111459,1
696,c,010919,111502,4
697,c,010919,111505,3
698,c,010919,111507,4
699,c,010919,111510,5
700,c,010919,111513,6
701,c,010919,111516,4
702,c,010919,111518,5
703,c,010919,111521,3
704,c,010919,111524,3
705,c,010919,111526,4
706,c,010919,111529,4
707,c,010919,111532,3
708,c,010919,111535,3
709,c,010919,111537,5
710,c,010919,111540,5
711,c,010919,111543,3
